"","fraction","units","seg_id","interpreted_qualifiers","site_id","quantitation_limit","data_provider","sample_id","date","value","validator_qualifiers","depth","info_type","parameter"
"3514","total","ug/l","1306-0027","","13-WALK-2.1",1,"AE","13-WALK-2.1_20180816",2018-08-16,2.9,"A",NA,NA,"nickel"
"3515","total","ug/l","1306-0039","estimated value due to lab error","13-SWAK-1.7",1,"AE","13-SWAK-1.7_20180905",2018-09-05,0.71,"J",NA,NA,"nickel"
"3516","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20181002",2018-10-02,2.1,"A",NA,NA,"nickel"
"3517","total","ug/l","1306-0038","","13-WALK-22.8",1,"AE","13-WALK-22.8_20170920",2017-09-20,2.3,"0",NA,NA,"nickel"
"3518","total","ug/l","1306-0068","estimated value due to lab error","13-TINW-0.5",1,"AE","13-TINW-0.5_20191015",2019-10-15,0.99,"J",NA,NA,"nickel"
"3519","total","ug/l","1306-0061","","13-WCHEE-0.6",1,"AE","13-WCHEE-0.6_20180906",2018-09-06,3.2,"A",NA,NA,"nickel"
"3520","total","ug/l","1306-0061","","13-RIOG-0.7",1,"AE","13-RIOG-0.7_20180906",2018-09-06,2.2,"A",NA,NA,"nickel"
"3521","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20170801",2017-08-01,2.7,"0",NA,NA,"nickel"
"3522","total","ug/l","1306-0025","","13-QKER-0.9",1,"AE","13-QKER-0.9_20170906",2017-09-06,3.6,"0",NA,NA,"nickel"
"3523","total","ug/l","1306-0038","","13-WALK-44.4",1,"AE","13-WALK-44.4_20180725",2018-07-25,3.5,"A",NA,NA,"nickel"
"3524","total","ug/l","1306-0038","","13-WALK-44.4",1,"AE","13-WALK-44.4_20180711",2018-07-11,2.2,"A",NA,NA,"nickel"
"3525","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20190814",2019-08-14,1.3,"A",NA,NA,"nickel"
"3526","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20180724",2018-07-24,1.6,"A",NA,NA,"nickel"
"3527","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20180906",2018-09-06,1.3,"A",NA,NA,"nickel"
"3528","total","ug/l","1306-0042","","13-WKLEI-0.6",1,"AE","13-WKLEI-0.6_20171012",2017-10-12,1.8,"0",NA,NA,"nickel"
"3529","total","ug/l","1306-0027","","13-WALK-2.1",1,"AE","13-WALK-2.1_20180710",2018-07-10,1.9,"A",NA,NA,"nickel"
"3530","total","ug/l","1306-0078","","13-POCH-1.8",1,"AE","13-POCH-1.8_20181003",2018-10-03,1.4,"A",NA,NA,"nickel"
"3531","total","ug/l","1306-0048","estimated value due to lab error","13-GUNK-40.3",1,"AE","13-GUNK-40.3_20180905",2018-09-05,0.88,"J",NA,NA,"nickel"
"3532","total","ug/l","1306-0074","","13-MONH-0.4",1,"AE","13-MONH-0.4_20180711",2018-07-11,1.7,"A",NA,NA,"nickel"
"3533","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20171011",2017-10-11,2,"0",NA,NA,"nickel"
"3534","total","ug/l","1306-0074","","13-MONH-0.4",1,"AE","13-MONH-0.4_20180906",2018-09-06,1.7,"A",NA,NA,"nickel"
"3535","total","ug/l","1306-0038","","13-WALK-35.6",1,"AE","13-WALK-35.6_20170906",2017-09-06,3.6,"0",NA,NA,"nickel"
"3536","total","ug/l","1306-0025","","13-QKER-0.9",1,"AE","13-QKER-0.9_20170719",2017-07-19,3.1,"0",NA,NA,"nickel"
"3537","total","ug/l","1306-0074","","13-MONH-4.1",1,"AE","13-MONH-4.1_20170726",2017-07-26,1.8,"0",NA,NA,"nickel"
"3538","total","ug/l","1306-0038","","13-WALK-44.4",1,"AE","13-WALK-44.4_20190626",2019-06-26,2.1,"A",NA,NA,"nickel"
"3539","total","ug/l","1306-0074","","13-MONH-0.4",1,"AE","13-MONH-0.4_20170719",2017-07-19,3.4,"0",NA,NA,"nickel"
"3540","total","ug/l","1306-0027","","13-WALK-2.1",1,"AE","13-WALK-2.1_20180905",2018-09-05,1.4,"A",NA,NA,"nickel"
"3541","total","ug/l","1306-0068","estimated value due to lab error","13-TINW-0.5",1,"AE","13-TINW-0.5_20190917",2019-09-17,0.97,"J",NA,NA,"nickel"
"3542","total","ug/l","1306-0068","estimated value due to lab error","13-TINW-0.5",1,"AE","13-TINW-0.5_20180906",2018-09-06,0.97,"J",NA,NA,"nickel"
"3543","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20191016",2019-10-16,1.6,"A",NA,NA,"nickel"
"3544","total","ug/l","1306-0061","","13-WCHEE-0.6",1,"AE","13-WCHEE-0.6_20180725",2018-07-25,3.1,"A",NA,NA,"nickel"
"3545","total","ug/l","1306-0039","estimated value due to lab error","13-SWAK-1.7",1,"AE","13-SWAK-1.7_20181003",2018-10-03,0.37,"J",NA,NA,"nickel"
"3546","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20170719",2017-07-19,3.3,"0",NA,NA,"nickel"
"3547","total","ug/l","1306-0038","","13-WALK-26.9",1,"AE","13-WALK-26.9_20170907",2017-09-07,3.4,"0",NA,NA,"nickel"
"3548","total","ug/l","1306-0038","","13-WALK-26.9",1,"AE","13-WALK-26.9_20170720",2017-07-20,2.5,"0",NA,NA,"nickel"
"3549","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20170920",2017-09-20,2,"0",NA,NA,"nickel"
"3550","total","ug/l","1306-0044","","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20180724",2018-07-24,1.3,"A",NA,NA,"nickel"
"3551","total","ug/l","1306-0025","","13-QKER-0.9",1,"AE","13-QKER-0.9_20170801",2017-08-01,2.5,"0",NA,NA,"nickel"
"3552","total","ug/l","1306-0074","","13-MONH-4.1",1,"AE","13-MONH-4.1_20180905",2018-09-05,1.3,"A",NA,NA,"nickel"
"3553","total","ug/l","1306-0068","estimated value due to lab error","13-TINW-0.5",1,"AE","13-TINW-0.5_20190814",2019-08-14,0.94,"J",NA,NA,"nickel"
"3554","total","ug/l","1306-0006","estimated value due to lab error","13-RUTG-1.5",1,"AE","13-RUTG-1.5_20190815",2019-08-15,0.81,"J",NA,NA,"nickel"
"3555","total","ug/l","1306-0045","","13-GUNK-0.4",1,"AE","13-GUNK-0.4_20170720",2017-07-20,1.5,"0",NA,NA,"nickel"
"3556","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20190917",2019-09-17,1.6,"A",NA,NA,"nickel"
"3557","total","ug/l","1306-0027","","13-WALK-2.1",1,"AE","13-WALK-2.1_20170920",2017-09-20,1.8,"0",NA,NA,"nickel"
"3558","total","ug/l","1306-0044","estimated value due to lab error","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20181002",2018-10-02,0.75,"J",NA,NA,"nickel"
"3559","total","ug/l","1306-0044","estimated value due to lab error","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20180906",2018-09-06,0.83,"J",NA,NA,"nickel"
"3560","total","ug/l","1306-0027","","13-WALK-9.8",1,"AE","13-WALK-9.8_20190723",2019-07-23,1.4,"A",NA,NA,"nickel"
"3561","total","ug/l","1306-0006","","13-RUTG-1.5",1,"AE","13-RUTG-1.5_20180905",2018-09-05,1.1,"A",NA,NA,"nickel"
"3562","total","ug/l","1306-0062","","13-DWAR-2.0",1,"AE","13-DWAR-2.0_20180710",2018-07-10,1.6,"A",NA,NA,"nickel"
"3563","total","ug/l","1306-0038","","13-WALK-26.9",1,"AE","13-WALK-26.9_20181002",2018-10-02,1.2,"A",NA,NA,"nickel"
"3564","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20171012",2017-10-12,2,"0",NA,NA,"nickel"
"3565","total","ug/l","1306-0074","","13-MONH-0.4",1,"AE","13-MONH-0.4_20170906",2017-09-06,3.5,"0",NA,NA,"nickel"
"3566","total","ug/l","1306-0038","","13-WALK-22.8",1,"AE","13-WALK-22.8_20181002",2018-10-02,2.1,"A",NA,NA,"nickel"
"3567","total","ug/l","1306-0062","","13-DWAR-2.0",1,"AE","13-DWAR-2.0_20191015",2019-10-15,1.3,"A",NA,NA,"nickel"
"3568","total","ug/l","1306-0062","","13-DWAR-2.0",1,"AE","13-DWAR-2.0_20180906",2018-09-06,1.5,"A",NA,NA,"nickel"
"3569","total","ug/l","1306-0038","","13-WALK-35.6",1,"AE","13-WALK-35.6_20170919",2017-09-19,2.6,"0",NA,NA,"nickel"
"3570","total","ug/l","1306-0038","","13-WALK-26.9",1,"AE","13-WALK-26.9_20180724",2018-07-24,2,"A",NA,NA,"nickel"
"3571","total","ug/l","1306-0044","estimated value due to lab error","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20190626",2019-06-26,0.83,"J",NA,NA,"nickel"
"3572","total","ug/l","1306-0038","","13-WALK-35.6",1,"AE","13-WALK-35.6_20180725",2018-07-25,3.4,"A",NA,NA,"nickel"
"3573","total","ug/l","1306-0074","","13-MONH-0.4",1,"AE","13-MONH-0.4_20180725",2018-07-25,3,"A",NA,NA,"nickel"
"3574","total","ug/l","1306-0038","","13-WALK-35.6",1,"AE","13-WALK-35.6_20180816",2018-08-16,3.7,"A",NA,NA,"nickel"
"3575","total","ug/l","1306-0017","","13-WALK-46.6",1,"AE","13-WALK-46.6_20180711",2018-07-11,2.1,"A",NA,NA,"nickel"
"3576","total","ug/l","1306-0006","","13-RUTG-1.5",1,"AE","13-RUTG-1.5_20180724",2018-07-24,2.5,"A",NA,NA,"nickel"
"3577","total","ug/l","1306-0027","","13-WALK-9.8",1,"AE","13-WALK-9.8_20180816",2018-08-16,2.6,"A",NA,NA,"nickel"
"3578","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20190723",2019-07-23,5.2,"A",NA,NA,"nickel"
"3579","total","ug/l","1306-0074","estimated value due to lab error","13-MONH-4.1",1,"AE","13-MONH-4.1_20181003",2018-10-03,0.96,"J",NA,NA,"nickel"
"3580","total","ug/l","1306-0045","","13-GUNK-0.4",1,"AE","13-GUNK-0.4_20170802",2017-08-02,1.4,"0",NA,NA,"nickel"
"3581","total","ug/l","1306-0048","","13-GUNK-40.3",1,"AE","13-GUNK-40.3_20180711",2018-07-11,1.3,"A",NA,NA,"nickel"
"3582","total","ug/l","1306-0061","","13-WCHEE-0.6",1,"AE","13-WCHEE-0.6_20170919",2017-09-19,3.4,"0",NA,NA,"nickel"
"3583","total","ug/l","1306-0068","estimated value due to lab error","13-TINW-0.5",1,"AE","13-TINW-0.5_20181002",2018-10-02,0.81,"J",NA,NA,"nickel"
"3584","total","ug/l","1306-0038","","13-WALK-26.9",1,"AE","13-WALK-26.9_20180710",2018-07-10,1.7,"A",NA,NA,"nickel"
"3585","total","ug/l","1306-0038","","13-WALK-26.9",1,"AE","13-WALK-26.9_20180815",2018-08-15,1.8,"A",NA,NA,"nickel"
"3586","total","ug/l","1306-0062","","13-DWAR-2.0",1,"AE","13-DWAR-2.0_20190724",2019-07-24,2,"A",NA,NA,"nickel"
"3587","total","ug/l","1306-0038","","13-WALK-44.4",1,"AE","13-WALK-44.4_20191015",2019-10-15,1.2,"A",NA,NA,"nickel"
"3588","total","ug/l","1306-0038","","13-WALK-26.9",1,"AE","13-WALK-26.9_20180906",2018-09-06,1.4,"A",NA,NA,"nickel"
"3589","total","ug/l","1306-0078","","13-POCH-1.8",1,"AE","13-POCH-1.8_20190815",2019-08-15,1.2,"A",NA,NA,"nickel"
"3590","total","ug/l","1306-0017","","13-WALK-46.6",1,"AE","13-WALK-46.6_20180906",2018-09-06,2.1,"A",NA,NA,"nickel"
"3591","total","ug/l","1306-0038","","13-WALK-26.9",1,"AE","13-WALK-26.9_20170802",2017-08-02,2.4,"0",NA,NA,"nickel"
"3592","total","ug/l","1306-0044","","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20190723",2019-07-23,1,"A",NA,NA,"nickel"
"3593","total","ug/l","1306-0062","","13-DWAR-2.0",1,"AE","13-DWAR-2.0_20190917",2019-09-17,1.2,"A",NA,NA,"nickel"
"3594","total","ug/l","1306-0062","","13-DWAR-2.0",1,"AE","13-DWAR-2.0_20190814",2019-08-14,1.5,"A",NA,NA,"nickel"
"3595","total","ug/l","1306-0006","","13-RUTG-1.5",1,"AE","13-RUTG-1.5_20191016",2019-10-16,1.1,"A",NA,NA,"nickel"
"3596","total","ug/l","1306-0037","","13-WALK-0.7",1,"AE","13-WALK-0.7_20180710",2018-07-10,1.5,"A",NA,NA,"nickel"
"3597","total","ug/l","1306-0061","","13-WCHEE-0.6",1,"AE","13-WCHEE-0.6_20180711",2018-07-11,4.2,"A",NA,NA,"nickel"
"3598","total","ug/l","1306-0061","","13-WCHEE-0.6",1,"AE","13-WCHEE-0.6_20180815",2018-08-15,2,"A",NA,NA,"nickel"
"3599","total","ug/l","1306-0044","estimated value due to lab error","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20180710",2018-07-10,0.97,"J",NA,NA,"nickel"
"3600","total","ug/l","1306-0061","","13-WCHEE-0.6",1,"AE","13-WCHEE-0.6_20181004",2018-10-04,1.4,"A",NA,NA,"nickel"
"3601","total","ug/l","1306-0044","estimated value due to lab error","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20190917",2019-09-17,0.77,"J",NA,NA,"nickel"
"3602","total","ug/l","1306-0037","","13-WALK-0.7",1,"AE","13-WALK-0.7_20180816",2018-08-16,2,"A",NA,NA,"nickel"
"3603","total","ug/l","1306-0038","","13-WALK-22.8",1,"AE","13-WALK-22.8_20180906",2018-09-06,1.3,"A",NA,NA,"nickel"
"3604","total","ug/l","1306-0078","","13-POCH-1.8",1,"AE","13-POCH-1.8_20190625",2019-06-25,1.1,"A",NA,NA,"nickel"
"3605","total","ug/l","1306-0017","","13-WALK-46.6",1,"AE","13-WALK-46.6_20180815",2018-08-15,3.6,"A",NA,NA,"nickel"
"3606","total","ug/l","1306-0027","","13-WALK-2.1",1,"AE","13-WALK-2.1_20171012",2017-10-12,1.9,"0",NA,NA,"nickel"
"3607","total","ug/l","1306-0078","","13-POCH-1.8",1,"AE","13-POCH-1.8_20190918",2019-09-18,1.3,"A",NA,NA,"nickel"
"3608","total","ug/l","1306-0038","","13-WALK-22.8",1,"AE","13-WALK-22.8_20180724",2018-07-24,1.8,"A",NA,NA,"nickel"
"3609","total","ug/l","1306-0045","","13-GUNK-0.4",1,"AE","13-GUNK-0.4_20171012",2017-10-12,1.2,"0",NA,NA,"nickel"
"3610","total","ug/l","1306-0038","","13-WALK-44.4",1,"AE","13-WALK-44.4_20181004",2018-10-04,2.4,"A",NA,NA,"nickel"
"3611","total","ug/l","1306-0037","","13-WALK-0.8",1,"AE","13-WALK-0.8_20181003",2018-10-03,1.3,"A",NA,NA,"nickel"
"3612","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20170720",2017-07-20,2.2,"0",NA,NA,"nickel"
"3613","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20170919",2017-09-19,2.6,"0",NA,NA,"nickel"
"3614","total","ug/l","1306-0017","","13-WALK-46.6",1,"AE","13-WALK-46.6_20171011",2017-10-11,2.4,"0",NA,NA,"nickel"
"3615","total","ug/l","1306-0038","","13-WALK-22.8",1,"AE","13-WALK-22.8_20180710",2018-07-10,1.8,"A",NA,NA,"nickel"
"3616","total","ug/l","1306-0039","estimated value due to lab error","13-SWAK-1.7",1,"AE","13-SWAK-1.7_20191015",2019-10-15,0.5,"J",NA,NA,"nickel"
"3617","total","ug/l","1306-0017","","13-WALK-46.6",1,"AE","13-WALK-46.6_20180725",2018-07-25,3.3,"A",NA,NA,"nickel"
"3618","total","ug/l","1306-0045","","13-GUNK-0.4",1,"AE","13-GUNK-0.4_20170907",2017-09-07,2.2,"0",NA,NA,"nickel"
"3619","total","ug/l","1306-0078","","13-POCH-1.8",1,"AE","13-POCH-1.8_20180905",2018-09-05,1.3,"A",NA,NA,"nickel"
"3620","total","ug/l","1306-0017","","13-WALK-46.6",1,"AE","13-WALK-46.6_20170801",2017-08-01,2.2,"0",NA,NA,"nickel"
"3621","total","ug/l","1306-0048","","13-GUNK-40.3",1,"AE","13-GUNK-40.3_20180816",2018-08-16,1.2,"A",NA,NA,"nickel"
"3622","total","ug/l","1306-0048","estimated value due to lab error","13-GUNK-40.3",1,"AE","13-GUNK-40.3_20181003",2018-10-03,0.98,"J",NA,NA,"nickel"
"3623","total","ug/l","1306-0027","","13-WALK-9.8",1,"AE","13-WALK-9.8_20191015",2019-10-15,1.4,"A",NA,NA,"nickel"
"3624","total","ug/l","1306-0006","","13-RUTG-1.5",1,"AE","13-RUTG-1.5_20180814",2018-08-14,2.7,"A",NA,NA,"nickel"
"3625","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20170907",2017-09-07,2.7,"0",NA,NA,"nickel"
"3626","total","ug/l","1306-0027","","13-WALK-9.8",1,"AE","13-WALK-9.8_20181003",2018-10-03,2.3,"A",NA,NA,"nickel"
"3627","total","ug/l","1306-0061","","13-WCHEE-0.6",1,"AE","13-WCHEE-0.6_20171011",2017-10-11,3.5,"0",NA,NA,"nickel"
"3628","total","ug/l","1306-0038","","13-WALK-22.8",1,"AE","13-WALK-22.8_20180815",2018-08-15,3.5,"A",NA,NA,"nickel"
"3629","total","ug/l","1306-0038","","13-WALK-22.8",1,"AE","13-WALK-22.8_20170907",2017-09-07,3.2,"0",NA,NA,"nickel"
"3630","total","ug/l","1306-0006","","13-RUTG-1.5",1,"AE","13-RUTG-1.5_20190918",2019-09-18,1,"A",NA,NA,"nickel"
"3631","total","ug/l","1306-0061","","13-WCHEE-0.6",1,"AE","13-WCHEE-0.6_20170801",2017-08-01,5.4,"0",NA,NA,"nickel"
"3632","total","ug/l","1306-0078","","13-POCH-1.8",1,"AE","13-POCH-1.8_20180814",2018-08-14,1.8,"A",NA,NA,"nickel"
"3633","total","ug/l","1306-0045","","13-GUNK-0.4",1,"AE","13-GUNK-0.4_20180906",2018-09-06,1.9,"A",NA,NA,"nickel"
"3634","total","ug/l","1306-0027","","13-WALK-9.8",1,"AE","13-WALK-9.8_20190917",2019-09-17,1.6,"A",NA,NA,"nickel"
"3635","total","ug/l","1306-0045","","13-GUNK-0.4",1,"AE","13-GUNK-0.4_20180724",2018-07-24,2.4,"A",NA,NA,"nickel"
"3636","total","ug/l","1306-0061","","13-WCHEE-0.6",1,"AE","13-WCHEE-0.6_20170906",2017-09-06,4.6,"0",NA,NA,"nickel"
"3637","total","ug/l","1306-0017","","13-WALK-46.6",1,"AE","13-WALK-46.6_20170906",2017-09-06,3.5,"0",NA,NA,"nickel"
"3638","total","ug/l","1306-0006","","13-RUTG-1.5",1,"AE","13-RUTG-1.5_20181003",2018-10-03,1.7,"A",NA,NA,"nickel"
"3639","total","ug/l","1306-0045","","13-GUNK-0.4",1,"AE","13-GUNK-0.4_20180815",2018-08-15,1.9,"A",NA,NA,"nickel"
"3640","total","ug/l","1306-0078","","13-POCH-1.8",1,"AE","13-POCH-1.8_20180724",2018-07-24,1.1,"A",NA,NA,"nickel"
"3641","total","ug/l","1306-0078","","13-POCH-1.8",1,"AE","13-POCH-1.8_20190724",2019-07-24,1.6,"A",NA,NA,"nickel"
"3642","total","ug/l","1306-0017","","13-WALK-46.6",1,"AE","13-WALK-46.6_20181004",2018-10-04,2.5,"A",NA,NA,"nickel"
"3643","total","ug/l","1306-0061","","13-WCHEE-0.6",1,"AE","13-WCHEE-0.6_20170719",2017-07-19,4.8,"0",NA,NA,"nickel"
"3644","total","ug/l","1306-0017","","13-WALK-46.6",1,"AE","13-WALK-46.6_20170719",2017-07-19,2.6,"0",NA,NA,"nickel"
"3645","total","mg/l","1306-0038","","13-WALK-44.4",0.005,"AE","13-WALK-44.4_20180815",2018-08-15,0.0793,"A",NA,NA,"ammonia"
"3646","total","mg/l","1306-0025","","13-QKER-0.9",0.005,"AE","13-QKER-0.9_20171011",2017-10-11,0.0958,"0",NA,NA,"ammonia"
"3647","total","mg/l","1306-0038","","13-WALK-26.9",0.005,"AE","13-WALK-26.9_20170920",2017-09-20,0.0175,"0",NA,NA,"ammonia"
"3648","total","mg/l","1306-0072","","13-MASO-0.2",0.005,"AE","13-MASO-0.2_20180906",2018-09-06,0.0206,"A",NA,NA,"ammonia"
"3649","total","mg/l","1306-0038","","13-WALK-44.4",0.005,"AE","13-WALK-44.4_20180906",2018-09-06,0.0331,"A",NA,NA,"ammonia"
"3650","total","mg/l","1306-0038","","13-WALK-44.4",0.01,"AE","13-WALK-44.4_20190724",2019-07-24,0.12,"A",NA,NA,"ammonia"
"3651","total","mg/l","1306-0025","","13-QKER-0.9",0.005,"AE","13-QKER-0.9_20170919",2017-09-19,0.0949,"0",NA,NA,"ammonia"
"3652","total","mg/l","1306-0038","","13-WALK-44.4",0.005,"AE","13-WALK-44.4_20181004",2018-10-04,0.0401,"A",NA,NA,"ammonia"
"3653","total","mg/l","1306-0017","","13-WALK-60.1",0.01,"AE","13-WALK-60.1_20190724",2019-07-24,0.052,"A",NA,NA,"ammonia"
"3654","total","mg/l","1306-0039","","13-SWAK-1.7",0.005,"AE","13-SWAK-1.7_20180905",2018-09-05,0.0081,"A",NA,NA,"ammonia"
"3655","total","mg/l","1306-0038","","13-WALK-44.4",0.01,"AE","13-WALK-44.4_20190815",2019-08-15,0.048,"A",NA,NA,"ammonia"
"3656","total","mg/l","1306-0061","","13-RIOG-0.7",0.005,"AE","13-RIOG-0.7_20181004",2018-10-04,0.0317,"A",NA,NA,"ammonia"
"3657","total","mg/l","1306-0047","","13-GUNK-37.7",0.005,"AE","13-GUNK-37.7_20180905",2018-09-05,0.0734,"A",NA,NA,"ammonia"
"3658","total","mg/l","1306-0038","","13-WALK-26.9",0.005,"AE","13-WALK-26.9_20171012",2017-10-12,0.0513,"0",NA,NA,"ammonia"
"3659","total","mg/l","1306-0025","","13-QKER-0.9",0.005,"AE","13-QKER-0.9_20180711",2018-07-11,0.119,"T",NA,NA,"ammonia"
"3660","total","mg/l","1306-0038","","13-WALK-26.9",0.005,"AE","13-WALK-26.9_20180815",2018-08-15,0.0339,"A",NA,NA,"ammonia"
"3661","total","mg/l","1306-0025","","13-QKER-0.9",0.005,"AE","13-QKER-0.9_20170906",2017-09-06,0.15,"0",NA,NA,"ammonia"
"3662","total","mg/l","1306-0072","","13-MASO-0.2",0.005,"AE","13-MASO-0.2_20180815",2018-08-15,0.0176,"A",NA,NA,"ammonia"
"3663","total","mg/l","1306-0061","","13-WCHEE-0.6",0.005,"AE","13-WCHEE-0.6_20180906",2018-09-06,0.0613,"A",NA,NA,"ammonia"
"3664","total","mg/l","1306-0072","","13-MASO-0.2",0.005,"AE","13-MASO-0.2_20181004",2018-10-04,0.0138,"A",NA,NA,"ammonia"
"3665","total","mg/l","1306-0038","","13-WALK-22.8",0.005,"AE","13-WALK-22.8_20170802",2017-08-02,0.0253,"0",NA,NA,"ammonia"
"3666","total","mg/l","1306-0038","","13-WALK-35.6",0.005,"AE","13-WALK-35.6_20180905",2018-09-05,0.0462,"A",NA,NA,"ammonia"
"3667","total","mg/l","1306-0047","","13-GUNK-37.7",0.005,"AE","13-GUNK-37.7_20181003",2018-10-03,0.02,"A",NA,NA,"ammonia"
"3668","total","mg/l","1306-0017","","13-WALK-60.1",0.005,"AE","13-WALK-60.1_20170801",2017-08-01,0.0636,"0",NA,NA,"ammonia"
"3669","total","mg/l","1306-0025","","13-QKER-0.9",0.005,"AE","13-QKER-0.9_20180905",2018-09-05,0.0436,"A",NA,NA,"ammonia"
"3670","total","mg/l","1306-0047","","13-GUNK-37.7",0.005,"AE","13-GUNK-37.7_20180816",2018-08-16,0.058,"A",NA,NA,"ammonia"
"3671","total","mg/l","1306-0039","Analyte was analyzed for but not detected","13-SWAK-1.7",0.01,"AE","13-SWAK-1.7_20190917",2019-09-17,NA,"U",NA,NA,"ammonia"
"3672","total","mg/l","1306-0061","","13-WCHEE-0.6",0.005,"AE","13-WCHEE-0.6_20170919",2017-09-19,0.0803,"0",NA,NA,"ammonia"
"3673","total","mg/l","1306-0017","","13-WALK-60.1",0.005,"AE","13-WALK-60.1_20170719",2017-07-19,0.0788,"0",NA,NA,"ammonia"
"3674","total","mg/l","1306-0047","estimated value due to Equipment Blank error","13-GUNK_T35-0.2",0.005,"AE","13-GUNK_T35-0.2_20180711",2018-07-11,0.136,"J",NA,NA,"ammonia"
"3675","total","mg/l","1306-0038","","13-WALK-26.9",0.005,"AE","13-WALK-26.9_20181002",2018-10-02,0.0126,"A",NA,NA,"ammonia"
"3676","total","mg/l","1306-0068","","13-TINW-0.5",0.01,"AE","13-TINW-0.5_20190814",2019-08-14,0.017,"A",NA,NA,"ammonia"
"3677","total","mg/l","1306-0038","","13-WALK-22.8",0.005,"AE","13-WALK-22.8_20181002",2018-10-02,0.022,"A",NA,NA,"ammonia"
"3678","total","mg/l","1306-0068","Analyte was analyzed for but not detected","13-TINW-0.5",0.01,"AE","13-TINW-0.5_20190917",2019-09-17,NA,"U",NA,NA,"ammonia"
"3679","total","mg/l","1306-0045","","13-WALK-19.0",0.005,"AE","13-WALK-19.0_20170907",2017-09-07,0.026,"0",NA,NA,"ammonia"
"3680","total","mg/l","1306-0039","Analyte was analyzed for but not detected","13-SWAK-1.7",0.005,"AE","13-SWAK-1.7_20181003",2018-10-03,NA,"U",NA,NA,"ammonia"
"3681","total","mg/l","1306-0038","","13-WALK-26.9",0.005,"AE","13-WALK-26.9_20180906",2018-09-06,0.0292,"A",NA,NA,"ammonia"
"3682","total","mg/l","1306-0038","","13-WALK-26.9",0.005,"AE","13-WALK-26.9_20170720",2017-07-20,0.0249,"0",NA,NA,"ammonia"
"3683","total","mg/l","1306-0061","","13-WCHEE-0.6",0.005,"AE","13-WCHEE-0.6_20181004",2018-10-04,0.0321,"A",NA,NA,"ammonia"
"3684","total","mg/l","1306-0025","","13-QKER-0.9",0.005,"AE","13-QKER-0.9_20170801",2017-08-01,0.0295,"0",NA,NA,"ammonia"
"3685","total","mg/l","1306-0061","","13-WCHEE-0.6",0.005,"AE","13-WCHEE-0.6_20180815",2018-08-15,0.0492,"A",NA,NA,"ammonia"
"3686","total","mg/l","1306-0038","","13-WALK-35.6",0.005,"AE","13-WALK-35.6_20180816",2018-08-16,0.0433,"A",NA,NA,"ammonia"
"3687","total","mg/l","1306-0038","","13-WALK-22.8",0.005,"AE","13-WALK-22.8_20180906",2018-09-06,0.0114,"A",NA,NA,"ammonia"
"3688","total","mg/l","1306-0038","","13-WALK-26.9",0.005,"AE","13-WALK-26.9_20170802",2017-08-02,0.0105,"0",NA,NA,"ammonia"
"3689","total","mg/l","1306-0037","","13-WALK-0.8",0.005,"AE","13-WALK-0.8_20181003",2018-10-03,0.0347,"A",NA,NA,"ammonia"
"3690","total","mg/l","1306-0037","","13-WALK-0.8",0.005,"AE","13-WALK-0.8_20180905",2018-09-05,0.0058,"A",NA,NA,"ammonia"
"3691","total","mg/l","1306-0045","Analyte was analyzed for but not detected","13-WALK-19.0",0.01,"AE","13-WALK-19.0_20190917",2019-09-17,NA,"U",NA,NA,"ammonia"
"3692","total","mg/l","1306-0038","","13-WALK-22.8",0.005,"AE","13-WALK-22.8_20170720",2017-07-20,0.0204,"0",NA,NA,"ammonia"
"3693","total","mg/l","1306-0017","","13-WALK-60.1",0.01,"AE","13-WALK-60.1_20190815",2019-08-15,0.093,"A",NA,NA,"ammonia"
"3694","total","mg/l","1306-0025","","13-QKER-0.9",0.005,"AE","13-QKER-0.9_20170719",2017-07-19,0.144,"0",NA,NA,"ammonia"
