"","fraction","units","seg_id","interpreted_qualifiers","site_id","quantitation_limit","data_provider","sample_id","date","value","validator_qualifiers","depth","info_type","parameter"
"77","total","mg/l","1306-0074","","13-MONH-4.1",2,"AE","13-MONH-4.1_20180905",2018-09-05,141,"A",NA,NA,"alkalinity, total (as caco3)"
"78","total","mg/l","1306-0061","","13-WCHEE-0.6",2,"AE","13-WCHEE-0.6_20180815",2018-08-15,122,"A",NA,NA,"alkalinity, total (as caco3)"
"79","total","mg/l","1306-0047","","13-GUNK-37.7",2,"AE","13-GUNK-37.7_20180816",2018-08-16,45.2,"A",NA,NA,"alkalinity, total (as caco3)"
"80","total","mg/l","1306-0017","","13-WALK-60.1",2,"AE","13-WALK-60.1_20190724",2019-07-24,57.2,"A",NA,NA,"alkalinity, total (as caco3)"
"81","total","mg/l","1306-0047","","13-GUNK_T35-0.2",2,"AE","13-GUNK_T35-0.2_20180905",2018-09-05,80.8,"A",NA,NA,"alkalinity, total (as caco3)"
"82","total","mg/l","1306-0047","","13-GUNK_T35-0.2",2,"AE","13-GUNK_T35-0.2_20181003",2018-10-03,34,"A",NA,NA,"alkalinity, total (as caco3)"
"83","total","mg/l","1306-0037","","13-WALK-0.7",2,"AE","13-WALK-0.7_20180816",2018-08-16,80.4,"A",NA,NA,"alkalinity, total (as caco3)"
"84","total","mg/l","1306-0048","","13-GUNK-40.3",2,"AE","13-GUNK-40.3_20180816",2018-08-16,40.8,"A",NA,NA,"alkalinity, total (as caco3)"
"85","total","mg/l","1306-0048","","13-GUNK-40.3",2,"AE","13-GUNK-40.3_20180905",2018-09-05,60.8,"A",NA,NA,"alkalinity, total (as caco3)"
"86","total","mg/l","1306-0045","","13-WALK-19.0",2,"AE","13-WALK-19.0_20191015",2019-10-15,113,"A",NA,NA,"alkalinity, total (as caco3)"
"87","total","mg/l","1306-0045","","13-WALK-19.0",2,"AE","13-WALK-19.0_20181002",2018-10-02,94,"A",NA,NA,"alkalinity, total (as caco3)"
"88","total","mg/l","1306-0045","","13-WALK-19.0",2,"AE","13-WALK-19.0_20170720",2017-07-20,112,"0",NA,NA,"alkalinity, total (as caco3)"
"89","total","mg/l","1306-0047","","13-GUNK-37.7",2,"AE","13-GUNK-37.7_20180725",2018-07-25,35.2,"A",NA,NA,"alkalinity, total (as caco3)"
"90","total","mg/l","1306-0038","","13-WALK-26.9",2,"AE","13-WALK-26.9_20171012",2017-10-12,123,"0",NA,NA,"alkalinity, total (as caco3)"
"91","total","mg/l","1306-0074","","13-MONH-0.4",2,"AE","13-MONH-0.4_20170919",2017-09-19,172,"0",NA,NA,"alkalinity, total (as caco3)"
"92","total","mg/l","1306-0038","","13-WALK-22.8",2,"AE","13-WALK-22.8_20181002",2018-10-02,96,"A",NA,NA,"alkalinity, total (as caco3)"
"93","total","mg/l","1306-0059","","13-LGUN-6.0",2,"AE","13-LGUN-6.0_20181003",2018-10-03,35.6,"A",NA,NA,"alkalinity, total (as caco3)"
"94","total","mg/l","1306-0074","","13-MONH-4.1",2,"AE","13-MONH-4.1_20170726",2017-07-26,117,"0",NA,NA,"alkalinity, total (as caco3)"
"95","total","mg/l","1306-0074","","13-MONH-0.4",2,"AE","13-MONH-0.4_20180815",2018-08-15,118,"A",NA,NA,"alkalinity, total (as caco3)"
"96","total","mg/l","1306-0061","","13-RIOG-0.7",2,"AE","13-RIOG-0.7_20180711",2018-07-11,44,"A",NA,NA,"alkalinity, total (as caco3)"
"97","total","mg/l","1306-0042","","13-WKLEI-0.6",2,"AE","13-WKLEI-0.6_20170920",2017-09-20,106,"0",NA,NA,"alkalinity, total (as caco3)"
"98","total","mg/l","1306-0042","","13-WKLEI-0.6",2,"AE","13-WKLEI-0.6_20180710",2018-07-10,94.8,"A",NA,NA,"alkalinity, total (as caco3)"
"99","total","mg/l","1306-0048","","13-GUNK-40.3",2,"AE","13-GUNK-40.3_20181003",2018-10-03,35.2,"A",NA,NA,"alkalinity, total (as caco3)"
"100","total","mg/l","1306-0068","","13-TINW-0.5",2,"AE","13-TINW-0.5_20190724",2019-07-24,66.4,"A",NA,NA,"alkalinity, total (as caco3)"
"101","total","mg/l","1306-0038","","13-WALK-22.8",2,"AE","13-WALK-22.8_20180815",2018-08-15,89.6,"A",NA,NA,"alkalinity, total (as caco3)"
"102","total","mg/l","1306-0078","","13-POCH-1.8",2,"AE","13-POCH-1.8_20191016",2019-10-16,74,"A",NA,NA,"alkalinity, total (as caco3)"
"103","total","mg/l","1306-0061","","13-WCHEE-0.6",2,"AE","13-WCHEE-0.6_20180725",2018-07-25,87.6,"A",NA,NA,"alkalinity, total (as caco3)"
