"","parameter","fraction","units","class","class_type","trout_class","spatial_extent","sampling_period","sampling_period_units","type","use","water_type","standard_type","narrative","wqs_threshold","wqs_threshold_formula","wqs_threshold_x_column","wqs_threshold_y_column","statistic","min_n","block","direction","threshold","threshold_units","summarize_rows","summarize_rows_operator","wqs_75p_threshold_formula","wqs_75p_threshold"
"35","ammonia","total","ug/l","a-special(t)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"36","ammonia","total","ug/l","a-special(ts)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"37","ammonia","total","ug/l","aa","fresh","all","nys","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"38","ammonia","total","ug/l","aa(t)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"39","ammonia","total","ug/l","aa(ts)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"40","ammonia","total","ug/l","aa","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"41","ammonia","total","ug/l","aa(t)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"42","ammonia","total","ug/l","aa(ts)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"43","ammonia","total","ug/l","aa-special","fresh","all","nys","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"44","ammonia","total","ug/l","aa-special(t)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"45","ammonia","total","ug/l","aa-special(ts)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"46","ammonia","total","ug/l","aa-special","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"47","ammonia","total","ug/l","aa-special(t)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"48","ammonia","total","ug/l","aa-special(ts)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"49","ammonia","total","ug/l","c","fresh","non_trout","nys","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"50","ammonia","total","ug/l","c","fresh","non_trout","great_lakes","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"51","ammonia","total","ug/l","b","fresh","non_trout","nys","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
